source_system_id,source_system
A,"PMS (FULL SERVICE & FIDELIO)"
B,"BATCH PROGRAM"
C,"CONVERSION"
D,"AUTO (STAY) AWDS WEB BATCH PGM"
E,"EXTERNAL VENDOR"
F,"COBRAND CARD"
G,"EZ-REZ TRAVEL PARTNER"
H,"ENROLLMENT PARTNERS"
I,"MARRIOTT.COM"
J,"PURE"
K,"LIGHTSPEED PMS"
L,"STRATEGIC ALLIANCES/PARTNERS"
M,"MARSHA (RESERVATIONS)"
N,"GPMS (GLOBAL PMS)"
O,"IVR (INTEGRATED VOISE RESPONSE)"
P,"POSTAL SERVICE UPDATE"
Q,"LOYALTY CUSTOMER CARE (IMS SCREENS)"
R,"RITZ-CARLTON MYSTIQUE (Application is obsolete)"
S,"EMPOWER (ENGAGE & GXP)"
T,"MOBILE APP"
U,"UNARCHIVER PROGRAM"
V,"MVCI    (MARRIOTT VACATION CLUB)"
W,"FOSSE PMS"
X,"NETLINK"
Y,"ACQSNCODE - ACROSS ALL SOURCES"
Z,"RITZ-CARLTON.COM - INTERNET (Application is obsolete)"
0,"PROPERTY TOOLS-EBONUS/RWD EVTS"
1,"MARRIOTT.COM PROFILE MAINTENAN (This description is wrong)"
2,"EMAIL CAPTURE PROCESS (Application is obsolete)"
3,"EPSILON/DIGITAL IMPACT INTRFCE"
4,"AGILYSYS PMS"
5,"OPERA PMS"
6,"STARWOOD"
7,"ECONFO"
8,"WECHAT / ALIBABA"
9,"GUEST SERVICES INTERFACE/ CRIS"
