hostname,port
deploymentserver.marriott.com,8089
opera.marriott.com,80
wmbprd.marriott.com,7080
marsha.marriott.com,5003
msprod.marriott.com,5047
msprod.marriott.com,5052
msprod.marriott.com,5066
msprod.marriott.com,5070
psdpprod.marriott.com,5337
marshaprod.marriott.com,5644
marshaprod.marriott.com,5646
smtp.marriott.com,25
enrollmi.managed.entrust.com,829
enrollmi2.managed.entrust.com,443
enrollmi2.managed.entrust.com,829
crl.marrcdp.marriott.com,80
mildap.managed.entrust.com,389
micrl.managed.entrust.com,80
mi2crl.managed.entrust.com,80
